nohup: 忽略输入
Running: filter=avg, mp=CAMP_clipping_v3
Running: filter=multi-krum, mp=CAMP_clipping_v3
Running: filter=median, mp=CAMP_clipping_v3
Running: filter=trmean, mp=CAMP_clipping_v3
Running: filter=flame, mp=CAMP_clipping_v3
2026-04-12 00:26:19,430 - *****************EXP-4*****************
2026-04-12 00:26:19,430 - Exp repeats: 1
2026-04-12 00:26:19,430 - *****************EXP-4*****************
2026-04-12 00:26:19,431 - Communication Rounds: 100
2026-04-12 00:26:19,431 - Exp repeats: 1
2026-04-12 00:26:19,431 - Communication Rounds: 100
2026-04-12 00:26:19,431 - Clients: 40

2026-04-12 00:26:19,431 - Clients: 40

2026-04-12 00:26:19,431 - Attack method: CAMP
2026-04-12 00:26:19,431 - Filtering rule: trmean
2026-04-12 00:26:19,431 - Attack method: CAMP
2026-04-12 00:26:19,431 - Dataset: Cifar10
2026-04-12 00:26:19,431 - Filtering rule: multi-krum
2026-04-12 00:26:19,431 - Dataset: Cifar10
2026-04-12 00:26:19,431 - Model: cnn2
2026-04-12 00:26:19,431 - Model: cnn2
2026-04-12 00:26:19,431 - Learning Rate: 0.04
2026-04-12 00:26:19,431 - *****************EXP-4*****************
2026-04-12 00:26:19,431 - Batch Size: 64
2026-04-12 00:26:19,431 - Learning Rate: 0.04
2026-04-12 00:26:19,431 - Device: cuda
2026-04-12 00:26:19,431 - Exp repeats: 1
2026-04-12 00:26:19,431 - Device id: 0
2026-04-12 00:26:19,431 - Batch Size: 64
2026-04-12 00:26:19,431 - Communication Rounds: 100
2026-04-12 00:26:19,431 - Adversaries: 8
2026-04-12 00:26:19,431 - *****************EXP-4*****************
2026-04-12 00:26:19,431 - Device: cuda
2026-04-12 00:26:19,431 - Model Poisoning: CAMP attack, mode clipping_v3
2026-04-12 00:26:19,431 - Clients: 40

2026-04-12 00:26:19,431 - *****************EXP-4*****************
2026-04-12 00:26:19,431 - Device id: 0
2026-04-12 00:26:19,431 - Attack method: CAMP
2026-04-12 00:26:19,431 - Adversaries: 8
2026-04-12 00:26:19,431 - Exp repeats: 1
2026-04-12 00:26:19,431 - Filtering rule: avg
2026-04-12 00:26:19,431 - Model Poisoning: CAMP attack, mode clipping_v3
2026-04-12 00:26:19,431 - Communication Rounds: 100
2026-04-12 00:26:19,431 - Dataset: Cifar10
2026-04-12 00:26:19,431 - *****************EXP-4*****************
2026-04-12 00:26:19,431 - Clients: 40

2026-04-12 00:26:19,431 - Model: cnn2
2026-04-12 00:26:19,431 - Learning Rate: 0.04
2026-04-12 00:26:19,431 - Attack method: CAMP
2026-04-12 00:26:19,431 - Batch Size: 64
2026-04-12 00:26:19,431 - Filtering rule: median
2026-04-12 00:26:19,431 - Device: cuda
2026-04-12 00:26:19,431 - Dataset: Cifar10
2026-04-12 00:26:19,431 - Device id: 0
2026-04-12 00:26:19,431 - Model: cnn2
2026-04-12 00:26:19,431 - Adversaries: 8
2026-04-12 00:26:19,431 - Model Poisoning: CAMP attack, mode clipping_v3
2026-04-12 00:26:19,431 - Learning Rate: 0.04
2026-04-12 00:26:19,432 - *****************EXP-4*****************
2026-04-12 00:26:19,432 - Batch Size: 64
2026-04-12 00:26:19,432 - Device: cuda
2026-04-12 00:26:19,432 - Device id: 0
2026-04-12 00:26:19,432 - Adversaries: 8
2026-04-12 00:26:19,432 - Model Poisoning: CAMP attack, mode clipping_v3
2026-04-12 00:26:19,432 - *****************EXP-4*****************
2026-04-12 00:26:19,432 - *****************EXP-4*****************
2026-04-12 00:26:19,432 - Exp repeats: 1
2026-04-12 00:26:19,432 - Communication Rounds: 100
2026-04-12 00:26:19,433 - Clients: 40

2026-04-12 00:26:19,433 - Attack method: CAMP
2026-04-12 00:26:19,433 - Filtering rule: flame
2026-04-12 00:26:19,433 - Dataset: Cifar10
2026-04-12 00:26:19,433 - Model: cnn2
2026-04-12 00:26:19,433 - Learning Rate: 0.04
2026-04-12 00:26:19,433 - Batch Size: 64
2026-04-12 00:26:19,433 - Device: cuda
2026-04-12 00:26:19,433 - Device id: 0
2026-04-12 00:26:19,433 - Adversaries: 8
2026-04-12 00:26:19,433 - Model Poisoning: CAMP attack, mode clipping_v3
2026-04-12 00:26:19,433 - *****************EXP-4*****************
2026-04-12 00:26:19,810 - Running time: 0th ==========================
2026-04-12 00:26:19,811 - Running time: 0th ==========================
2026-04-12 00:26:19,811 - Running time: 0th ==========================
2026-04-12 00:26:19,811 - Running time: 0th ==========================
2026-04-12 00:26:19,811 - Running time: 0th ==========================
2026-04-12 00:26:24,393 - Round number: 0 --------------------------
2026-04-12 00:26:24,393 - Round number: 0 --------------------------
2026-04-12 00:26:24,393 - Round number: 0 --------------------------
2026-04-12 00:26:24,394 - Evaluate global model
2026-04-12 00:26:24,394 - Evaluate global model
2026-04-12 00:26:24,394 - Evaluate global model
2026-04-12 00:26:24,394 - Round number: 0 --------------------------
2026-04-12 00:26:24,394 - Round number: 0 --------------------------
2026-04-12 00:26:24,394 - Evaluate global model
2026-04-12 00:26:24,394 - Evaluate global model
2026-04-12 00:26:27,082 - Averaged Train Loss: 2.3046
2026-04-12 00:26:27,082 - Test Accurancy: 0.0977
2026-04-12 00:26:27,093 - Averaged Train Loss: 2.3046
2026-04-12 00:26:27,094 - Test Accurancy: 0.0977
2026-04-12 00:26:27,110 - Averaged Train Loss: 2.3046
2026-04-12 00:26:27,110 - Test Accurancy: 0.0977
2026-04-12 00:26:27,138 - Averaged Train Loss: 2.3046
2026-04-12 00:26:27,138 - Test Accurancy: 0.0977
2026-04-12 00:26:27,144 - Averaged Train Loss: 2.3046
2026-04-12 00:26:27,144 - Test Accurancy: 0.0977
2026-04-12 00:26:36,393 - Round number: 1 --------------------------
2026-04-12 00:26:36,393 - Evaluate global model
2026-04-12 00:26:36,434 - Round number: 1 --------------------------
2026-04-12 00:26:36,434 - Evaluate global model
2026-04-12 00:26:36,466 - Round number: 1 --------------------------
2026-04-12 00:26:36,467 - Evaluate global model
2026-04-12 00:26:36,916 - Multi-krum select clients: [26, 28, 8, 34, 11, 22, 24, 33, 29, 38, 14, 36, 21, 35, 31, 12, 13, 9, 17, 23, 20, 10, 39, 30, 37, 15, 25, 16, 18, 27, 19]
2026-04-12 00:26:36,928 - Round number: 1 --------------------------
2026-04-12 00:26:36,928 - Evaluate global model
2026-04-12 00:26:38,240 - Averaged Train Loss: 2.2994
2026-04-12 00:26:38,240 - Test Accurancy: 0.0977
2026-04-12 00:26:38,297 - Averaged Train Loss: 2.2826
2026-04-12 00:26:38,297 - Test Accurancy: 0.1173
2026-04-12 00:26:38,321 - Averaged Train Loss: 2.2789
2026-04-12 00:26:38,321 - Test Accurancy: 0.1189
2026-04-12 00:26:39,450 - Averaged Train Loss: 2.2652
2026-04-12 00:26:39,450 - Test Accurancy: 0.1598
2026-04-12 00:26:39,681 - Flame select clients: [0, 6, 7, 8, 9, 10, 11, 12, 14, 20, 21, 22, 24, 26, 28, 29, 31, 33, 34, 35, 36, 38]
2026-04-12 00:26:39,721 - Round number: 1 --------------------------
2026-04-12 00:26:39,721 - Evaluate global model
2026-04-12 00:26:45,232 - Averaged Train Loss: 2.2964
2026-04-12 00:26:45,233 - Test Accurancy: 0.1100
2026-04-12 00:26:46,499 - Round number: 2 --------------------------
2026-04-12 00:26:46,499 - Evaluate global model
2026-04-12 00:26:46,593 - Round number: 2 --------------------------
2026-04-12 00:26:46,593 - Evaluate global model
2026-04-12 00:26:46,623 - Round number: 2 --------------------------
2026-04-12 00:26:46,623 - Evaluate global model
2026-04-12 00:26:49,289 - Multi-krum select clients: [8, 28, 26, 36, 22, 12, 33, 31, 24, 29, 34, 21, 11, 38, 14, 35, 13, 20, 39, 17, 23, 37, 18, 10, 16, 9, 30, 25, 32, 15, 27]
2026-04-12 00:26:49,301 - Round number: 2 --------------------------
2026-04-12 00:26:49,301 - Evaluate global model
2026-04-12 00:26:49,408 - Averaged Train Loss: 2.2888
2026-04-12 00:26:49,408 - Test Accurancy: 0.1016
2026-04-12 00:26:49,467 - Averaged Train Loss: 2.2015
2026-04-12 00:26:49,467 - Test Accurancy: 0.1820
2026-04-12 00:26:49,612 - Averaged Train Loss: 2.1871
2026-04-12 00:26:49,612 - Test Accurancy: 0.1865
2026-04-12 00:26:53,901 - Averaged Train Loss: 2.1203
2026-04-12 00:26:53,901 - Test Accurancy: 0.2252
2026-04-12 00:26:57,072 - Round number: 3 --------------------------
2026-04-12 00:26:57,072 - Evaluate global model
2026-04-12 00:26:57,136 - Round number: 3 --------------------------
2026-04-12 00:26:57,136 - Evaluate global model
2026-04-12 00:26:57,241 - Round number: 3 --------------------------
2026-04-12 00:26:57,241 - Evaluate global model
2026-04-12 00:26:57,837 - Flame select clients: [0, 6, 7, 8, 9, 11, 12, 13, 14, 20, 21, 22, 24, 26, 28, 29, 31, 33, 34, 36, 38]
2026-04-12 00:26:57,865 - Round number: 2 --------------------------
2026-04-12 00:26:57,865 - Evaluate global model
2026-04-12 00:26:59,840 - Averaged Train Loss: 2.2707
2026-04-12 00:26:59,840 - Test Accurancy: 0.1231
2026-04-12 00:26:59,887 - Averaged Train Loss: 2.1208
2026-04-12 00:26:59,888 - Test Accurancy: 0.2140
2026-04-12 00:26:59,988 - Averaged Train Loss: 2.1061
2026-04-12 00:26:59,988 - Test Accurancy: 0.2054
2026-04-12 00:27:00,968 - Averaged Train Loss: 2.2473
2026-04-12 00:27:00,968 - Test Accurancy: 0.1411
2026-04-12 00:27:02,508 - Multi-krum select clients: [8, 26, 36, 31, 29, 11, 24, 12, 38, 33, 21, 28, 22, 34, 13, 14, 9, 39, 35, 30, 10, 18, 23, 20, 17, 16, 37, 27, 25, 32, 15]
2026-04-12 00:27:02,519 - Round number: 3 --------------------------
2026-04-12 00:27:02,519 - Evaluate global model
2026-04-12 00:27:07,656 - Averaged Train Loss: 2.0388
2026-04-12 00:27:07,657 - Test Accurancy: 0.2545
2026-04-12 00:27:07,864 - Round number: 4 --------------------------
2026-04-12 00:27:07,864 - Evaluate global model
2026-04-12 00:27:07,964 - Round number: 4 --------------------------
2026-04-12 00:27:07,964 - Evaluate global model
2026-04-12 00:27:08,063 - Round number: 4 --------------------------
2026-04-12 00:27:08,063 - Evaluate global model
2026-04-12 00:27:10,855 - Averaged Train Loss: 2.0667
2026-04-12 00:27:10,855 - Test Accurancy: 0.2345
2026-04-12 00:27:10,872 - Averaged Train Loss: 2.2482
2026-04-12 00:27:10,872 - Test Accurancy: 0.1546
2026-04-12 00:27:11,153 - Averaged Train Loss: 2.0572
